,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,85095000000.0,2916000000.0,0,-12522000000.0,20246000000.0,1931000000.0,0.0,13747000000.0,0.0,10399000000.0,-100158000000.0,-2022000000.0,-57489000000.0,2122000000.0,2122000000.0,0,3386000000.0,3386000000.0,0,0.0,13137000000.0,0,-2122000000.0,0,-17085000000.0,0.0,10399000000.0,JPM,Finance,3.33,3.01,0.32,10.6312,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,23331000000.0,1421000000.0,0,-7147000000.0,89289000000.0,1928000000.0,0.0,8781000000.0,0.0,11687000000.0,-62275000000.0,97047000000.0,8341000000.0,5286000000.0,5286000000.0,0,3158000000.0,3158000000.0,0,0.0,13505000000.0,2000000000,-3286000000.0,0,12305000000.0,0.0,11687000000.0,JPM,Finance,3.55,3.0006,0.5494,18.3097,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,13530000000.0,1334000000.0,0,-3514000000.0,78460000000.0,2003000000.0,0.0,-10606000000.0,0.0,11948000000.0,17698000000.0,-37943000000.0,-62109000000.0,6194000000.0,6194000000.0,0,3121000000.0,3121000000.0,0,0.0,31605000000.0,3850000000,-2344000000.0,0,12691000000.0,0.0,11948000000.0,JPM,Finance,3.78,3.1743,0.6057,19.0814,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,-43872000000.0,1127000000.0,0,-7000000.0,131539000000.0,2070000000.0,0.0,-24323000000.0,0.0,14300000000.0,15391000000.0,218911000000.0,98231000000.0,4806000000.0,4806000000.0,0,3193000000.0,3193000000.0,0,0.0,24162000000.0,1500000000,-3306000000.0,0,190430000000.0,0.0,14300000000.0,JPM,Finance,4.59,3.0604,1.5296,49.9804,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,-28052000000.0,3127000000.0,0,13682000000.0,90098000000.0,2127000000.0,0.0,-13614000000.0,0.0,12136000000.0,-63706000000.0,125958000000.0,-18724000000.0,0.0,0.0,0,3139000000.0,3139000000.0,0,0.0,14443000000.0,0,0.0,0,34200000000.0,0.0,12136000000.0,JPM,Finance,3.07,2.6508,0.4192,15.8141,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,-14688000000.0,2337000000.0,0,-5825000000.0,105501000000.0,2141000000.0,0.0,-4772000000.0,0.0,9443000000.0,-14727000000.0,19251000000.0,-5196000000.0,0.0,0.0,0,3209000000.0,3209000000.0,0,0.0,6499000000.0,0,0.0,0,9964000000.0,0.0,9443000000.0,JPM,Finance,3.09,2.2354,0.8546,38.2303,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,82919000000.0,4865000000.0,0,-27737000000.0,-61817000000.0,2149000000.0,3787000000.0,49697000000.0,0.0,4687000000.0,-47646000000.0,89131000000.0,-1842000000.0,0.0,0.0,0,3154000000.0,3154000000.0,0,0.0,22893000000.0,0,0.0,0,5489000000.0,0.0,4687000000.0,JPM,Finance,1.08,1.206,-0.126,-10.4478,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,-120089000000.0,4374000000.0,0,97078000000.0,244639000000.0,2197000000.0,11985000000.0,-49323000000.0,0.0,2865000000.0,-135833000000.0,362305000000.0,61728000000.0,6517000000.0,6517000000.0,0,3188000000.0,3188000000.0,0,0.0,34851000000.0,4500000000,-2017000000.0,0,106383000000.0,0.0,2865000000.0,JPM,Finance,2.89,2.1996,0.6904,31.3875,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,82811000000.0,9523000000.0,0,-27290000000.0,-80190000000.0,2139000000.0,0.0,16011000000.0,0.0,8520000000.0,-15558000000.0,-63019000000.0,-72065000000.0,6751000000.0,6751000000.0,0,3287000000.0,3287000000.0,0,0.0,15930000000.0,900000000,-5851000000.0,0,4234000000.0,0.0,8520000000.0,JPM,Finance,2.57,2.3615,0.2085,8.8291,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,16015000000.0,8173000000.0,0,9000000.0,21200000000.0,2145000000.0,0.0,-673000000.0,0.0,9080000000.0,-63925000000.0,39537000000.0,35415000000.0,6949000000.0,6949000000.0,0,2975000000.0,2975000000.0,0,0.0,15996000000.0,2250000000,-4699000000.0,0,9639000000.0,0.0,9080000000.0,JPM,Finance,2.68,2.4542,0.2258,9.2006,2.5,95.5,244.98,0.07546424338206248
10,2019-06-30,USD,-13854000000.0,6458000000.0,0,-588000000.0,28665000000.0,2046000000.0,0.0,-16285000000.0,0.0,9652000000.0,-8877000000.0,-12966000000.0,-32371000000.0,5210000000.0,5210000000.0,0,3048000000.0,3048000000.0,0,0.0,13599000000.0,0,-5210000000.0,0,10222000000.0,0.0,9652000000.0,JPM,Finance,2.82,2.491,0.329,13.2075,2.6,98.4,227.79,0.08188078841130353
